ClassOrder,ClassDescription,Acres,job_spaces_orig,job_spaces_new,job_spaces_change,resunits_orig,resunits_new,resunits_change,density_hhemp_orig,density_hhemp_new,density_hhemp_change,Acres_Unchanged_Percent,Acres_Redev_Percent,Acres_Dev_Percent,job_spaces_redev_percentadd,job_spaces_dev_percentadd,resunits_redev_percentadd,resunits_dev_percentadd
1.0,CRT|Metropolitan Center,250.74122081668412,6700.0,127200.0,120500.0,1000.0,21400.0,20400.0,31.0,593.0,562.0,0.376729327505016,0.4177754950661433,0.20549517742884077,0.6596866215061222,0.34031337849387777,0.6649584704360183,0.3350415295639817
2.0,LRT|Metropolitan Center,383.2532002886558,55600.0,204400.0,148800.0,3100.0,31900.0,28800.0,153.0,616.0,463.0,0.41383274378317914,0.4072841351053147,0.1788831211115062,0.6332242605025692,0.3667757394974308,0.6844403655149695,0.31555963448503055
3.0,NONTOD|Metropolitan Center,299.4750992412992,11400.0,70600.0,59200.0,2300.0,15500.0,13200.0,46.0,287.0,241.0,0.3613623539987223,0.5187468695719542,0.11989077642932351,0.7819176189412663,0.21808238105873368,0.798837671097381,0.201162328902619
4.0,CRT|Urban Center,1051.5777033465204,21400.0,157400.0,136000.0,1600.0,37500.0,35900.0,22.0,185.0,163.0,0.4056014675878947,0.3542063118798291,0.24019222053227618,0.5642979904492161,0.43570200955078386,0.5875708798600232,0.41242912013997685
5.0,LRT|Urban Center,535.7984090235279,13500.0,86300.0,72800.0,3000.0,22600.0,19600.0,31.0,203.0,172.0,0.34496746612974577,0.48760158572125284,0.16743094814900142,0.7107965864850669,0.28920341351493306,0.7316420636129584,0.2683579363870417
6.0,NONTOD|Urban Center,9447.786790193626,156700.0,809200.0,652500.0,27200.0,201700.0,174500.0,19.0,107.0,88.0,0.4356729118133426,0.3509909859681895,0.21333610221846794,0.5727900192242678,0.42720998077573225,0.5933074452188668,0.40669255478113325
7.0,CRT|City Center,380.0353592782778,1300.0,25400.0,24100.0,200.0,11000.0,10800.0,4.0,96.0,92.0,0.2507949559382384,0.13126999415081522,0.6179350499109464,0.14561804923197041,0.8543819507680296,0.169106764979979,0.830893235020021
8.0,LRT|City Center,1078.0139959741334,12500.0,71800.0,59300.0,2100.0,31500.0,29400.0,13.0,96.0,83.0,0.26913929035305206,0.3861996024052776,0.3446611072416704,0.4510294236951449,0.5489705763048551,0.5157986196281319,0.484201380371868
9.0,NONTOD|City Center,18949.01887278181,163200.0,544800.0,381600.0,33300.0,278600.0,245300.0,10.0,43.0,33.0,0.3429719116184242,0.31853792349901555,0.3384901648825603,0.35682654425429267,0.6431734557457074,0.45789997589424625,0.5421000241057538
10.0,CRT|NA,1023.6709333539098,4200.0,21700.0,17500.0,2000.0,14100.0,12100.0,6.0,35.0,29.0,0.40666339857689576,0.2734755803756667,0.31986102104743747,0.42078409861537375,0.5792159013846263,0.4336487544281312,0.5663512455718687
11.0,LRT|NA,2975.0015262771603,37500.0,74200.0,36700.0,8200.0,38100.0,29900.0,15.0,38.0,23.0,0.46485514044059034,0.34771025215299206,0.18743460740641757,0.529522957549399,0.47047704245060096,0.6072351684340614,0.39276483156593855
66.0,,36374.37311057561,483900.0,2192900.0,1709000.0,84000.0,703900.0,619900.0,16.0,80.0,64.0,0.3786304410657688,0.3349226750157648,0.28644688391846646,0.5356741056670802,0.4643258943329198,0.5411776802873045,0.45882231971269555
