CO_ORDER,county_id,CO_NAME,Acres,job_spaces_orig,job_spaces_new,job_spaces_change,resunits_orig,resunits_new,resunits_change,density_hhemp_orig,density_hhemp_new,density_hhemp_change
1.0,3.0,Weber,5588.964902130001,48500.0,235400.0,186900.0,10100.0,84100.0,74000.0,10.0,57.0,47.0
2.0,1.0,Davis,5678.039579837045,43000.0,327800.0,284800.0,10300.0,109200.0,98900.0,9.0,77.0,68.0
3.0,2.0,Salt Lake,18332.35337063006,302800.0,1208500.0,905700.0,45000.0,365800.0,320800.0,19.0,86.0,67.0
4.0,4.0,Utah,6775.015257978495,89500.0,421200.0,331700.0,18600.0,144800.0,126200.0,16.0,84.0,68.0
10.0,10.0,,36374.3731105756,483900.0,2192900.0,1709000.0,84000.0,703900.0,619900.0,16.0,80.0,64.0
