AreaID,ClassID,county_id,DevCategory,parcel_id,job_spaces,resunits,Acres,sf_res,sf_com,acres_res,acres_com
0,8,1.0,Developable,48.0,0.0,0.0,14.636327164657683,0.0,0.0,0.0,0.0
0,8,1.0,Redevelopable,53.0,879.0991328950403,6.5809827749496,42.568730992571545,7540.898917030901,353570.7548044662,0.9532362174141381,41.61549477515741
0,8,1.0,Remain,16.0,487.502293746372,2.2932094132170002,13.2866226492595,3767.437093785,279700.42518860823,0.6985410669494,12.5880815823101
0,8,1.0,Undevelopable,17.0,0.0,27.9738006937,8.426638327149345,42936.4272088,0.0,0.0,0.0
1,6,2.0,Developable,23.0,0.0,0.0,26.560251860202307,0.0,0.0,0.0,0.0
1,6,2.0,Redevelopable,20.0,595.60913861402,22.981274292133403,15.502682301727848,21919.6174320061,276945.02660273,0.56097560408485,14.941706697643
1,6,2.0,Remain,13.0,102.3410099739122,142.9100063094084,10.462269032292472,26800.025109356004,63102.323559980905,7.179859613249669,3.2824094190428004
1,6,2.0,Undevelopable,1.0,0.0,0.0,3.98373565657,0.0,0.0,0.0,0.0
2,8,2.0,Developable,86.0,0.0,0.0,30.891084754865947,0.0,0.0,0.0,0.0
2,8,2.0,Redevelopable,384.0,2568.194133284357,292.6742358957549,168.19940812326718,503767.45904653403,1350049.0568880916,73.07361856782937,95.1257895554377
2,8,2.0,Remain,248.0,729.0959295585701,243.0647067261981,43.07602141845397,395200.56115932245,354840.98660464,17.130632623391964,25.945388795061994
2,8,2.0,Undevelopable,25.0,128.92496491862,1.4931381172629998,25.75970620950904,2300.682930295,62308.406272219996,0.0,0.0
3,6,2.0,Developable,5.0,0.0,0.0,4.437524499527999,0.0,0.0,0.0,0.0
3,6,2.0,Redevelopable,70.0,0.0,65.23513069033297,19.68338286149999,188247.849341102,0.0,19.68338286149999,0.0
3,6,2.0,Remain,247.0,0.0,228.05790018595684,55.84673013845685,720600.290927541,0.0,55.84673013845685,0.0
3,6,2.0,Undevelopable,9.0,0.0,0.0,18.084790823145813,0.0,0.0,0.0,0.0
4,6,2.0,Developable,26.0,0.0,0.0,47.923856757995104,0.0,0.0,0.0,0.0
4,6,2.0,Redevelopable,1.0,32.0106886571,0.0,49.8792148256,0.0,31210.4214406,0.0,49.8792148256
4,6,2.0,Undevelopable,18.0,53.9689564329,0.0,26.361189130855696,0.0,52619.7325221,0.0,0.0
5,6,2.0,Developable,82.0,0.0,0.0,11.061768198752798,0.0,0.0,0.0,0.0
