CO_ORDER,county_id,CO_NAME,Acres,job_spaces_orig,job_spaces_new,job_spaces_change,resunits_orig,resunits_new,resunits_change,density_hhemp_orig,density_hhemp_new,density_hhemp_change
1.0,3.0,Weber,5588.964902130001,48500.0,235400.0,186900.0,10100.0,57100.0,47000.0,10.0,52.0,42.0
2.0,1.0,Davis,5678.039579837045,43000.0,327800.0,284800.0,10300.0,78500.0,68200.0,9.0,72.0,63.0
3.0,2.0,Salt Lake,18332.35337063006,302800.0,1208500.0,905700.0,45000.0,298900.0,253900.0,19.0,82.0,63.0
4.0,4.0,Utah,6775.015257978495,89500.0,421200.0,331700.0,18600.0,104400.0,85800.0,16.0,78.0,62.0
10.0,10.0,,36374.3731105756,483900.0,2192900.0,1709000.0,84000.0,538800.0,454800.0,16.0,75.0,59.0
