AreaID,ClassID,DevCategory,parcel_id,job_spaces,resunits,Acres,sf_res,sf_com,acres_res,acres_com
0,4,Developable,52.0,0.0,0.0,61.54570560541793,0.0,0.0,0.0,0.0
0,4,Remain,22.0,281.80554901276804,1.997829710341,45.5579988880865,2643.4160325800003,200289.295119993,5.28397935177,40.2740195363165
0,4,Undevelopable,12.0,616.5494609841995,1.99783121603,7.9194238857605015,2878.8747823,601129.5194185284,0.0,0.0
1,4,Developable,42.0,0.0,0.0,5.587282379692611,0.0,0.0,0.0,0.0
1,4,Redevelopable,103.0,89.8074743440252,151.7102048053397,21.65957167567191,168460.1650936311,49316.99551852611,13.171002136329616,8.4885695393423
1,4,Remain,69.0,21.690501081416,339.0345903802913,14.29207835898348,387343.97632574954,12695.14940807,12.541674351254352,1.7504040077291303
1,4,Undevelopable,9.0,77.44916643630201,0.0,6.464923835543781,0.0,29349.432613427998,0.0,0.0
2,4,Developable,37.0,0.0,0.0,1.87931582157931,0.0,0.0,0.0,0.0
2,4,Redevelopable,673.0,337.65251717350935,614.1234772891967,89.98857538576799,704748.1243108211,189826.54204640974,85.94465183041923,4.043923555348738
2,4,Remain,251.0,57.940320039330004,392.10237962872293,37.66307218187841,459455.6387869822,22445.89310814,36.930153161306016,0.7329190205724
2,4,Undevelopable,8.0,37.2502587967,0.100616817963,15.43538084205,247.617989006,13037.59057883,0.0,0.0
3,4,Developable,38.0,0.0,0.0,2.20856343159877,0.0,0.0,0.0,0.0
3,4,Redevelopable,171.0,108.46592637897301,236.7564079541369,28.352889019988364,266324.3346420016,63569.765417277005,22.25533362191268,6.0975553980756905
3,4,Remain,113.0,7.991816069162001,238.25868763653185,12.55072368665319,263414.40142150875,2988.93920987,11.937491381426494,0.6132323052267
3,4,Undevelopable,40.0,27.971415653199998,40.45317371879799,9.245581804755279,57269.633025216994,17140.485327464,0.0,0.0
4,4,Developable,19.0,0.0,0.0,2.9462196776835183,0.0,0.0,0.0,0.0
4,4,Redevelopable,35.0,19.9726725429,34.182162840615845,6.045883232265989,33095.16429715186,10147.62193679,5.4600167564985895,0.5858664757673999
4,4,Remain,137.0,11.2941151709,288.1155114364322,22.057056338473377,287687.16699214216,3952.94030983,21.986018474423577,0.0710378640498
4,4,Undevelopable,1.0,0.0,0.0,2.26515197024,0.0,0.0,0.0,0.0
5,4,Developable,10.0,0.0,0.0,1.2259106857694846,0.0,0.0,0.0,0.0
5,4,Redevelopable,42.0,0.792437861908,35.81458920728199,9.676469430818177,47920.73459890551,285.277630287,9.628132884209176,0.048336546609
5,4,Remain,84.0,0.0,82.4805693372311,16.126686446993084,126477.081958568,0.0,16.126686446993084,0.0
5,4,Undevelopable,4.0,0.0,0.0,4.2052113117835,0.0,0.0,0.0,0.0
6,4,Developable,5.0,0.0,0.0,0.11137494160879101,0.0,0.0,0.0,0.0
6,4,Redevelopable,71.0,324.09126423161405,66.28717916737958,18.106795108542467,70782.63336522377,205149.77025917202,13.623757345211917,4.48303776333055
6,4,Remain,84.0,22.9767891015,141.93534076810263,13.399354769657887,156605.62517187506,1454.53064921,13.221022476603887,0.178332293054
6,4,Undevelopable,2.0,0.0,0.0,2.072946931269,0.0,0.0,0.0,0.0
7,4,Developable,32.0,0.0,0.0,11.633847014557606,0.0,0.0,0.0,0.0
7,4,Redevelopable,102.0,773.2300032085161,85.16906062150066,28.88174239412151,126188.23709322531,285232.038309296,26.072347701449004,2.8093946926724995
7,4,Remain,152.0,107.68895162168,198.3518675558023,32.892321202956985,282848.79942576436,58973.331828430004,29.762655149905385,3.1296660530516
7,4,Undevelopable,90.0,1317.8660367800403,7.05580067341773,182.44232347480764,10133.772221917488,461929.15443562804,0.0,0.0
8,4,Developable,24.0,0.0,0.0,26.39631824546791,0.0,0.0,0.0,0.0
8,4,Redevelopable,41.0,29.9708946428,38.392219177892066,12.41554834207245,42230.28268510421,11209.1145964,9.03213373036245,3.38341461171
8,4,Remain,248.0,33.884985473915,346.0566489723992,53.98996496649018,409920.4821220976,32012.854889028004,50.78482424749688,3.2051407189932997
8,4,Undevelopable,22.0,0.0,0.0,15.842313449325102,0.0,0.0,0.0,0.0
9,4,Developable,28.0,0.0,0.0,1.15442886561364,0.0,0.0,0.0,0.0
9,4,Redevelopable,43.0,121.80849127519,25.6624723632128,6.389958609434171,30128.582608645876,77104.77497709,5.163820648781171,1.226137960653
9,4,Remain,115.0,1778.61340168231,146.23566453271567,67.59332197771536,174359.27213514972,1124262.93598381,7.4405465957669685,60.15277538194839
9,4,Undevelopable,10.0,0.792360379098,3.7893695391880002,12.6053831500308,3663.754441778,277.326132684,0.0,0.0
10,4,Developable,27.0,0.0,0.0,46.349002667862905,0.0,0.0,0.0,0.0
10,4,Redevelopable,5.0,291.29506324135,0.997281895072,21.485611947161942,1894.83560064,283330.676753449,0.852086714343,20.63352523281894
10,4,Remain,1.0,0.0,24.9428127101,1.69946509319,31734.9415721,0.0,1.69946509319,0.0
10,4,Undevelopable,4.0,0.0,0.0,4.506416460969,0.0,0.0,0.0,0.0
11,4,Developable,1.0,0.0,0.0,0.056485468612,0.0,0.0,0.0,0.0
11,4,Redevelopable,13.0,0.0,8.6115646538808,2.3206690171638105,9161.505705914898,0.0,2.3206690171638105,0.0
11,4,Remain,1.0,23.0520965369,0.0,1.70541567562,0.0,14591.9771078,0.0,1.70541567562
11,4,Undevelopable,1.0,0.0,0.0,0.430885413942,0.0,0.0,0.0,0.0
12,4,Developable,4.0,0.0,0.0,4.337421091155999,0.0,0.0,0.0,0.0
